Year,Month,CharCode,InRuR
2003,1,AUD,17.9995
2003,1,GBP,50.9631
2003,1,BYR,0.0164252
2003,1,DKK,4.47781
2003,1,USD,31.7844
2003,1,EUR,33.2719
2003,1,ISK,0.391433
2003,1,KZT,0.203925
2003,1,CAD,20.1767
2003,1,NOK,4.56528
2003,1,XDR,43.0545
2003,1,SGD,18.2848
2003,1,TRL,1.94044e-05
2003,1,UAH,5.9419
2003,1,SEK,3.63035
2003,1,CHF,22.8271
2003,1,JPY,0.267816
2003,2,AUD,18.7346
2003,2,GBP,52.6447
2003,2,BYR,0.0162562
2003,2,DKK,4.62993
2003,2,USD,31.8345
2003,2,EUR,34.429
2003,2,ISK,0.411245
2003,2,KZT,0.205576
2003,2,CAD,20.8232
2003,2,NOK,4.62583
2003,2,XDR,43.6983
2003,2,SGD,18.3146
2003,2,TRL,1.93171e-05
2003,2,UAH,5.94182
2003,2,SEK,3.74061
2003,2,CHF,23.4508
2003,2,JPY,0.266934
2003,3,AUD,19.0984
2003,3,GBP,49.8347
2003,3,BYR,0.0159887
2003,3,DKK,4.56797
2003,3,USD,31.5729
2003,3,EUR,33.9409
2003,3,ISK,0.404314
2003,3,KZT,0.208194
2003,3,CAD,21.1303
2003,3,NOK,4.38312
2003,3,XDR,43.3644
2003,3,SGD,18.1631
2003,3,TRL,1.97454e-05
2003,3,UAH,5.89454
2003,3,SEK,3.71844
2003,3,CHF,23.2017
2003,3,JPY,0.268158
2003,4,AUD,18.9536
2003,4,GBP,49.5052
2003,4,BYR,0.0156963
2003,4,DKK,4.57416
2003,4,USD,31.3801
2003,4,EUR,33.9815
2003,4,ISK,0.408329
2003,4,KZT,0.206202
2003,4,CAD,21.379
2003,4,NOK,4.30177
2003,4,XDR,42.7695
2003,4,SGD,17.7771
2003,4,TRL,1.83617e-05
2003,4,UAH,5.85471
2003,4,SEK,3.6784
2003,4,CHF,23.011
2003,4,JPY,0.262859
2003,5,AUD,19.3922
2003,5,GBP,49.6141
2003,5,BYR,0.015331
2003,5,DKK,4.65169
2003,5,USD,31.1021
2003,5,EUR,34.5513
2003,5,ISK,0.413867
2003,5,KZT,0.204875
2003,5,CAD,21.6062
2003,5,NOK,4.41998
2003,5,XDR,42.7862
2003,5,SGD,17.5174
2003,5,TRL,1.94997e-05
2003,5,UAH,5.77205
2003,5,SEK,3.78371
2003,5,CHF,22.8507
2003,5,JPY,0.260334
2003,6,AUD,20.0653
2003,6,GBP,50.7159
2003,6,BYR,0.0150078
2003,6,DKK,4.91148
2003,6,USD,30.709
2003,6,EUR,36.4669
2003,6,ISK,0.427404
2003,6,KZT,0.204125
2003,6,CAD,22.4645
2003,6,NOK,4.62116
2003,6,XDR,43.4757
2003,6,SGD,17.7386
2003,6,TRL,2.13702e-05
2003,6,UAH,5.63882
2003,6,SEK,3.98466
2003,6,CHF,23.8405
2003,6,JPY,0.259498
2003,7,AUD,20.2823
2003,7,GBP,50.1771
2003,7,BYR,0.0147152
2003,7,DKK,4.67319
2003,7,USD,30.3809
2003,7,EUR,34.7223
2003,7,ISK,0.39802
2003,7,KZT,0.205946
2003,7,CAD,22.5394
2003,7,NOK,4.19278
2003,7,XDR,42.5882
2003,7,SGD,17.2599
2003,7,TRL,2.14176e-05
2003,7,UAH,5.64921
2003,7,SEK,3.77942
2003,7,CHF,22.4429
2003,7,JPY,0.253301
2003,8,AUD,19.7874
2003,8,GBP,48.8493
2003,8,BYR,0.0145704
2003,8,DKK,4.62058
2003,8,USD,30.2791
2003,8,EUR,34.3395
2003,8,ISK,0.391962
2003,8,KZT,0.206358
2003,8,CAD,21.6094
2003,8,NOK,4.2024
2003,8,XDR,42.3686
2003,8,SGD,17.2158
2003,8,TRL,2.12336e-05
2003,8,UAH,5.64751
2003,8,SEK,3.74765
2003,8,CHF,22.176
2003,8,JPY,0.252242
2003,9,AUD,19.5589
2003,9,GBP,48.1316
2003,9,BYR,0.0145172
2003,9,DKK,4.46795
2003,9,USD,30.5036
2003,9,EUR,33.2001
2003,9,ISK,0.380249
2003,9,KZT,0.206829
2003,9,CAD,21.7774
2003,9,NOK,4.00583
2003,9,XDR,41.8214
2003,9,SGD,17.3582
2003,9,TRL,2.16261e-05
2003,9,UAH,5.67055
2003,9,SEK,3.60328
2003,9,CHF,21.5848
2003,9,JPY,0.260559
2003,10,AUD,20.833
2003,10,GBP,51.1594
2003,10,BYR,0.0144789
2003,10,DKK,4.79305
2003,10,USD,30.6142
2003,10,EUR,35.6043
2003,10,ISK,0.400395
2003,10,KZT,0.205656
2003,10,CAD,22.6873
2003,10,NOK,4.36971
2003,10,XDR,43.2674
2003,10,SGD,17.7053
2003,10,TRL,2.19457e-05
2003,10,UAH,5.67897
2003,10,SEK,3.98596
2003,10,CHF,23.1225
2003,10,JPY,0.276152
